pokemon,normalized_name,image_path_or_url,source
Poliwrath,poliwrath,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,df_pokemon.image_url
Abra,abra,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,df_pokemon.image_url
Kadabra,kadabra,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,df_pokemon.image_url
Alakazam,alakazam,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,df_pokemon.image_url
Mega Alakazam,mega alakazam,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,df_pokemon.image_url
Machop,machop,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,df_pokemon.image_url
Machoke,machoke,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,df_pokemon.image_url
Machamp Gigantamax,machamp gigantamax,https://archives.bulbagarden.net/media/upload/0/03/068GiMS8.png,df_pokemon.image_url
Machamp,machamp,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,df_pokemon.image_url
Bellsprout,bellsprout,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,df_pokemon.image_url
Weepinbell,weepinbell,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,df_pokemon.image_url
Victreebel,victreebel,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,df_pokemon.image_url
Tentacool,tentacool,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,df_pokemon.image_url
Tentacruel,tentacruel,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,df_pokemon.image_url
Geodude,geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,df_pokemon.image_url
Alolan Geodude,alolan geodude,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,df_pokemon.image_url
Graveler,graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,df_pokemon.image_url
Alolan Graveler,alolan graveler,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,df_pokemon.image_url
Golem,golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,df_pokemon.image_url
Alolan Golem,alolan golem,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,df_pokemon.image_url
Ponyta,ponyta,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,df_pokemon.image_url
Galarian Ponyta,galarian ponyta,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,df_pokemon.image_url
Rapidash,rapidash,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,df_pokemon.image_url
Galarian Rapidash,galarian rapidash,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,df_pokemon.image_url
Galarian Slowpoke,galarian slowpoke,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,df_pokemon.image_url
Slowpoke,slowpoke,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,df_pokemon.image_url
Mega Slowbro,mega slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,df_pokemon.image_url
Galarian Slowbro,galarian slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,df_pokemon.image_url
Slowbro,slowbro,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,df_pokemon.image_url
Magnemite,magnemite,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,df_pokemon.image_url
Magneton,magneton,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,df_pokemon.image_url
Farfetch'd,farfetchd,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,df_pokemon.image_url
Galarian Farfetch'd,galarian farfetchd,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,df_pokemon.image_url
Doduo,doduo,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,df_pokemon.image_url
Dodrio,dodrio,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,df_pokemon.image_url
Seel,seel,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,df_pokemon.image_url
Dewgong,dewgong,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,df_pokemon.image_url
Grimer,grimer,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,df_pokemon.image_url
Alolan Grimer,alolan grimer,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,df_pokemon.image_url
Alolan Muk,alolan muk,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,df_pokemon.image_url
Muk,muk,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,df_pokemon.image_url
Shellder,shellder,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,df_pokemon.image_url
Cloyster,cloyster,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,df_pokemon.image_url
Gastly,gastly,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,df_pokemon.image_url
Haunter,haunter,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,df_pokemon.image_url
Gengar,gengar,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,df_pokemon.image_url
Gengar Gigantamax,gengar gigantamax,https://archives.bulbagarden.net/media/upload/4/43/094GiMS8.png,df_pokemon.image_url
Mega Gengar,mega gengar,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,df_pokemon.image_url
Onix,onix,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,df_pokemon.image_url
Drowzee,drowzee,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,df_pokemon.image_url
Hypno,hypno,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,df_pokemon.image_url
Krabby,krabby,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,df_pokemon.image_url
Kingler Gigantamax,kingler gigantamax,https://archives.bulbagarden.net/media/upload/3/33/099GiMS8.png,df_pokemon.image_url
Kingler,kingler,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,df_pokemon.image_url
Hisuian Voltorb,hisuian voltorb,https://img.pokemondb.net/s.png,df_pokemon.image_url
Voltorb,voltorb,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,df_pokemon.image_url
Hisuian Electrode,hisuian electrode,https://img.pokemondb.net/s.png,df_pokemon.image_url
Electrode,electrode,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,df_pokemon.image_url
Exeggcute,exeggcute,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,df_pokemon.image_url
Alolan Exeggutor,alolan exeggutor,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,df_pokemon.image_url
Exeggutor,exeggutor,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,df_pokemon.image_url
Cubone,cubone,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,df_pokemon.image_url
Alolan Marowak,alolan marowak,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,df_pokemon.image_url
Marowak,marowak,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,df_pokemon.image_url
Hitmonlee,hitmonlee,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,df_pokemon.image_url
Hitmonchan,hitmonchan,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,df_pokemon.image_url
Lickitung,lickitung,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,df_pokemon.image_url
Koffing,koffing,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,df_pokemon.image_url
Weezing,weezing,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,df_pokemon.image_url
Galarian Weezing,galarian weezing,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,df_pokemon.image_url
Rhyhorn,rhyhorn,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,df_pokemon.image_url
Rhydon,rhydon,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,df_pokemon.image_url
Chansey,chansey,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,df_pokemon.image_url
Tangela,tangela,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,df_pokemon.image_url
Kangaskhan,kangaskhan,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,df_pokemon.image_url
Mega Kangaskhan,mega kangaskhan,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,df_pokemon.image_url
Horsea,horsea,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,df_pokemon.image_url
Seadra,seadra,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,df_pokemon.image_url
Goldeen,goldeen,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,df_pokemon.image_url
Seaking,seaking,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,df_pokemon.image_url
Staryu,staryu,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,df_pokemon.image_url
Starmie,starmie,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,df_pokemon.image_url
Mime Galarian Mr. Mime,mime galarian mr mime,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,df_pokemon.image_url
Mr. Mime,mr mime,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,df_pokemon.image_url
Scyther,scyther,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,df_pokemon.image_url
Jynx,jynx,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,df_pokemon.image_url
Electabuzz,electabuzz,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,df_pokemon.image_url
Magmar,magmar,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,df_pokemon.image_url
Mega Pinsir,mega pinsir,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,df_pokemon.image_url
Pinsir,pinsir,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,df_pokemon.image_url
Tauros,tauros,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,df_pokemon.image_url
Magikarp,magikarp,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,df_pokemon.image_url
Mega Gyarados,mega gyarados,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados-mega.png,df_pokemon.image_url
Gyarados,gyarados,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,df_pokemon.image_url
Lapras Gigantamax,lapras gigantamax,https://archives.bulbagarden.net/media/upload/e/ed/131GiMS8.png,df_pokemon.image_url
Lapras,lapras,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,df_pokemon.image_url
Ditto,ditto,https://img.pokemondb.net/sprites/sword-shield/icon/ditto.png,df_pokemon.image_url
Partner Eevee,partner eevee,https://img.pokemondb.net/sprites/sword-shield/icon/eevee-lets-go.png,df_pokemon.image_url
Eevee Gigantamax,eevee gigantamax,https://archives.bulbagarden.net/media/upload/6/61/133GiMS8.png,df_pokemon.image_url
Eevee,eevee,https://img.pokemondb.net/sprites/sword-shield/icon/eevee.png,df_pokemon.image_url
Vaporeon,vaporeon,https://img.pokemondb.net/sprites/sword-shield/icon/vaporeon.png,df_pokemon.image_url
Jolteon,jolteon,https://img.pokemondb.net/sprites/sword-shield/icon/jolteon.png,df_pokemon.image_url
Flareon,flareon,https://img.pokemondb.net/sprites/sword-shield/icon/flareon.png,df_pokemon.image_url
Porygon,porygon,https://img.pokemondb.net/sprites/sword-shield/icon/porygon.png,df_pokemon.image_url
Omanyte,omanyte,https://img.pokemondb.net/sprites/sword-shield/icon/omanyte.png,df_pokemon.image_url
Omastar,omastar,https://img.pokemondb.net/sprites/sword-shield/icon/omastar.png,df_pokemon.image_url
Kabuto,kabuto,https://img.pokemondb.net/sprites/sword-shield/icon/kabuto.png,df_pokemon.image_url
Kabutops,kabutops,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,df_pokemon.image_url
Aerodactyl,aerodactyl,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,df_pokemon.image_url
Mega Aerodactyl,mega aerodactyl,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl-mega.png,df_pokemon.image_url
Snorlax Gigantamax,snorlax gigantamax,https://archives.bulbagarden.net/media/upload/f/f7/143GiMS8.png,df_pokemon.image_url
Snorlax,snorlax,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,df_pokemon.image_url
Galarian Articuno,galarian articuno,https://img.pokemondb.net/sprites/sword-shield/icon/articuno-galarian.png,df_pokemon.image_url
Articuno,articuno,https://img.pokemondb.net/sprites/sword-shield/icon/articuno.png,df_pokemon.image_url
Galarian Zapdos,galarian zapdos,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos-galarian.png,df_pokemon.image_url
Zapdos,zapdos,https://img.pokemondb.net/sprites/sword-shield/icon/zapdos.png,df_pokemon.image_url
Galarian Moltres,galarian moltres,https://img.pokemondb.net/sprites/sword-shield/icon/moltres-galarian.png,df_pokemon.image_url
Moltres,moltres,https://img.pokemondb.net/sprites/sword-shield/icon/moltres.png,df_pokemon.image_url
Dratini,dratini,https://img.pokemondb.net/sprites/sword-shield/icon/dratini.png,df_pokemon.image_url
Dragonair,dragonair,https://img.pokemondb.net/sprites/sword-shield/icon/dragonair.png,df_pokemon.image_url
Dragonite,dragonite,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,df_pokemon.image_url
Mega Mewtwo Y,mega mewtwo y,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-y.png,df_pokemon.image_url
Mega Mewtwo X,mega mewtwo x,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo-mega-x.png,df_pokemon.image_url
Mewtwo,mewtwo,https://img.pokemondb.net/sprites/sword-shield/icon/mewtwo.png,df_pokemon.image_url
Mew,mew,https://img.pokemondb.net/sprites/sword-shield/icon/mew.png,df_pokemon.image_url
Chikorita,chikorita,https://img.pokemondb.net/sprites/sword-shield/icon/chikorita.png,df_pokemon.image_url
Bayleef,bayleef,https://img.pokemondb.net/sprites/sword-shield/icon/bayleef.png,df_pokemon.image_url
Meganium,meganium,https://img.pokemondb.net/sprites/sword-shield/icon/meganium.png,df_pokemon.image_url
Cyndaquil,cyndaquil,https://img.pokemondb.net/sprites/sword-shield/icon/cyndaquil.png,df_pokemon.image_url
Quilava,quilava,https://img.pokemondb.net/sprites/sword-shield/icon/quilava.png,df_pokemon.image_url
Hisuian Typhlosion,hisuian typhlosion,https://img.pokemondb.net/s.png,df_pokemon.image_url
Typhlosion,typhlosion,https://img.pokemondb.net/sprites/sword-shield/icon/typhlosion.png,df_pokemon.image_url
Totodile,totodile,https://img.pokemondb.net/sprites/sword-shield/icon/totodile.png,df_pokemon.image_url
Croconaw,croconaw,https://img.pokemondb.net/sprites/sword-shield/icon/croconaw.png,df_pokemon.image_url
Feraligatr,feraligatr,https://img.pokemondb.net/sprites/sword-shield/icon/feraligatr.png,df_pokemon.image_url
Sentret,sentret,https://img.pokemondb.net/sprites/sword-shield/icon/sentret.png,df_pokemon.image_url
Furret,furret,https://img.pokemondb.net/sprites/sword-shield/icon/furret.png,df_pokemon.image_url
Hoothoot,hoothoot,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,df_pokemon.image_url
Noctowl,noctowl,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,df_pokemon.image_url
Ledyba,ledyba,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,df_pokemon.image_url
Ledian,ledian,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,df_pokemon.image_url
Spinarak,spinarak,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,df_pokemon.image_url
Ariados,ariados,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,df_pokemon.image_url
Crobat,crobat,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,df_pokemon.image_url
Chinchou,chinchou,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,df_pokemon.image_url
Lanturn,lanturn,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,df_pokemon.image_url
Pichu,pichu,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,df_pokemon.image_url
Cleffa,cleffa,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,df_pokemon.image_url
Igglybuff,igglybuff,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,df_pokemon.image_url
Togepi,togepi,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,df_pokemon.image_url
Togetic,togetic,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,df_pokemon.image_url
Natu,natu,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,df_pokemon.image_url
Xatu,xatu,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,df_pokemon.image_url
Mareep,mareep,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,df_pokemon.image_url
Flaaffy,flaaffy,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,df_pokemon.image_url
Ampharos,ampharos,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,df_pokemon.image_url
Mega Ampharos,mega ampharos,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png,df_pokemon.image_url
Bellossom,bellossom,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,df_pokemon.image_url
Marill,marill,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,df_pokemon.image_url
Azumarill,azumarill,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,df_pokemon.image_url
Sudowoodo,sudowoodo,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,df_pokemon.image_url
Politoed,politoed,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,df_pokemon.image_url
