source,target,co_usage_percent,source_usage_percent,target_usage_percent
Cherrim,Groudon,88.123,0.0,23.0
Gourgeist Super Size,Arcanine,87.995,,0.0
Coalossal,Zacian Crowned Sword,87.812,1.0,65.0
Druddigon,Duraludon,87.742,,0.0
Corsola,Torkoal,87.733,,3.0
Corsola,Venusaur,87.733,,7.0
Druddigon,Sylveon,87.534,,
Torracat,Amoonguss,87.486,,18.0
Bewear,Togekiss,87.483,,1.0
Fan Rotom,Primarina,87.438,,0.0
Druddigon,Whimsicott,87.438,,17.0
Charjabug,Accelgor,87.278,,0.0
Blastoise,Zacian Crowned Sword,87.112,7.0,65.0
Charizard,Groudon,86.831,19.0,23.0
Klinklang,Indeedee Female,86.796,0.0,18.0
Pincurchin,Kyogre,86.757,0.0,35.0
Klinklang,Whimsicott,86.377,0.0,17.0
Kingdra,Kyogre,86.306,3.0,35.0
Tyrantrum,Kyogre,86.268,0.0,35.0
Qwilfish,Coalossal,86.009,,1.0
Bewear,Tyranitar,85.985,,0.0
Dawn Wings Necrozma,Thundurus Incarnate Forme,85.91,1.0,21.0
Dawn Wings Necrozma,Groudon,85.864,1.0,23.0
Fan Rotom,Incineroar,85.839,,59.0
Dawn Wings Necrozma,Porygon2,85.795,1.0,9.0
Dawn Wings Necrozma,Charizard,85.794,1.0,19.0
Fan Rotom,Dusclops,85.723,,4.0
Kartana,Kyogre,85.397,7.0,35.0
Seaking,Gyarados,85.345,,0.0
Haxorus,Braviary,85.326,,
Cinccino,Zacian Crowned Sword,85.177,0.0,65.0
Toxicroak,Tornadus Incarnate Forme,85.03,0.0,8.0
Fan Rotom,Indeedee Female,84.987,,18.0
Swampert,Zacian Crowned Sword,84.981,0.0,65.0
Toxicroak,Rillaboom,84.706,0.0,27.0
Tornadus Incarnate Forme,Kyogre,84.699,8.0,35.0
Beheeyem,Indeedee Female,84.651,,18.0
Regigigas,Weezing,84.614,1.0,2.0
Kingdra,Zacian Crowned Sword,84.609,3.0,65.0
Greedent,Calyrex Shadow Rider,84.392,0.0,22.0
Greedent,Rillaboom,84.354,0.0,27.0
Toxicroak,Calyrex Shadow Rider,84.219,0.0,22.0
Toxicroak,Heliolisk,84.219,0.0,0.0
Qwilfish,Rillaboom,83.979,,27.0
Glastrier,Incineroar,83.583,0.0,59.0
Eldegoss,Cinderace,83.549,,1.0
Garbodor,Palkia,83.42,0.0,9.0
Qwilfish,Incineroar,83.29,,59.0
Salamence,Kyogre,83.233,0.0,35.0
Haxorus,Indeedee Female,83.084,,18.0
Eldegoss,Whimsicott,82.991,,17.0
Torracat,Corviknight,82.99,,0.0
Qwilfish,Indeedee Female,82.967,,18.0
Drampa,Zacian Crowned Sword,82.838,0.0,65.0
Torracat,Toxtricity Low Key Form,82.837,,
Torracat,Grimmsnarl,82.833,,30.0
Moltres,Kyogre,82.735,0.0,35.0
Qwilfish,Togekiss,82.732,,1.0
Drednaw,Regieleki,82.563,0.0,29.0
Vanilluxe,Cinderace,82.326,,1.0
Salamence,Grimmsnarl,82.297,0.0,30.0
Seaking,Tentacruel,82.254,,
Garbodor,Calyrex Shadow Rider,82.164,0.0,22.0
Drednaw,Tornadus Incarnate Forme,82.14,0.0,8.0
Shedinja,Kyogre,82.039,4.0,35.0
Diggersby,Grimmsnarl,81.961,0.0,30.0
Eldegoss,Duraludon,81.912,,0.0
Eldegoss,Jellicent,81.849,,0.0
Manectric,Kyogre,81.848,0.0,35.0
Clefable,Kyogre,81.847,0.0,35.0
Zygarde Complete Forme,Incineroar,81.782,1.0,59.0
Coalossal,Incineroar,81.65,1.0,59.0
Swampert,Rillaboom,81.632,0.0,27.0
Haxorus,Dusclops,81.503,,4.0
Bewear,Heat Rotom,81.475,,1.0
Haxorus,Urshifu Rapid Strike Style,81.445,,2.0
Haxorus,Hatterene,81.414,,0.0
Bewear,Rillaboom,81.398,,27.0
Bewear,Grimmsnarl,81.296,,30.0
Politoed,Zacian Crowned Sword,81.144,0.0,65.0
Garbodor,Thundurus Incarnate Forme,81.097,0.0,21.0
Sandslash,Tyranitar,80.958,,0.0
Pelipper,Zacian Crowned Sword,80.799,0.0,65.0
Garbodor,Ferrothorn,80.79,0.0,5.0
Garbodor,Darmanitan Standard Mode,80.773,0.0,0.0
Toxapex,Grimmsnarl,80.748,0.0,30.0
Toxapex,Solgaleo,80.742,0.0,4.0
Registeel,Landorus Therian Forme,80.619,0.0,20.0
Alolan Sandslash,Alolan Ninetales,80.576,,0.0
Gardevoir,Indeedee Female,80.533,,18.0
Toxapex,Thundurus Incarnate Forme,80.433,0.0,21.0
Toxapex,Ditto,80.406,0.0,5.0
Toxapex,White Kyurem,80.389,0.0,2.0
Tapu Bulu,Incineroar,80.219,0.0,59.0
Vanilluxe,Whimsicott,80.074,,17.0
Seaking,Lapras,80.04,,1.0
Seaking,Dracovish,79.526,,0.0
Sneasel,Gastrodon,79.393,0.0,20.0
Coalossal,Urshifu Rapid Strike Style,79.309,1.0,2.0
Drednaw,Dusk Mane Necrozma,79.279,0.0,0.0
Vanilluxe,Dracovish,79.208,,0.0
Drednaw,Indeedee Female,79.181,0.0,18.0
Regigigas,Zacian Crowned Sword,79.06,1.0,65.0
Morpeko Full Belly Mode,Togekiss,78.882,,1.0
Gastrodon,Zacian Crowned Sword,78.876,20.0,65.0
Swampert,Regieleki,78.84,0.0,29.0
Steelix,Dusclops,78.722,,4.0
Vanilluxe,Indeedee Male,78.717,,1.0
Araquanid,Zacian Crowned Sword,78.633,1.0,65.0
Regigigas,Calyrex Shadow Rider,78.613,1.0,22.0
Swampert,Yveltal,78.588,0.0,11.0
Greedent,Dracovish,78.531,0.0,0.0
Sigilyph,Cinderace,78.439,,1.0
Gigalith,Zacian Crowned Sword,78.428,0.0,65.0
Durant,Whimsicott,78.243,0.0,17.0
Charjabug,Sylveon,78.222,,
Swampert,Grimmsnarl,78.15,0.0,30.0
Mudsdale,Kyogre,77.955,0.0,35.0
Kangaskhan,Calyrex Ice Rider,77.854,0.0,11.0
Clefable,Amoonguss,77.741,0.0,18.0
Pelipper,Calyrex Shadow Rider,77.557,0.0,22.0
Manectric,Solgaleo,77.47,0.0,4.0
Manectric,Umbreon,77.47,0.0,1.0
Kabutops,Mewtwo,77.332,0.0,0.0
Tauros,Froslass,77.293,0.0,0.0
Dusknoir,Riolu,77.263,,0.0
Dracovish,Zacian Crowned Sword,77.196,0.0,65.0
Mamoswine,Calyrex Shadow Rider,77.049,1.0,22.0
Clefable,Calyrex Ice Rider,77.025,0.0,11.0
Shedinja,Zacian Crowned Sword,76.954,4.0,65.0
Giratina Origin Forme,Landorus Therian Forme,76.879,0.0,20.0
Manectric,Incineroar,76.829,0.0,59.0
Alolan Exeggutor,Kyogre,76.8,0.0,35.0
Charjabug,Heliolisk,76.694,,0.0
Clefable,Liepard,76.641,0.0,0.0
Clefable,Pincurchin,76.641,0.0,0.0
Inteleon,Kyogre,76.628,0.0,35.0
Sneasel,Ho-oh,76.486,0.0,1.0
Mimikyu,Incineroar,76.435,2.0,59.0
Azumarill,Dialga,76.387,0.0,4.0
Shiftry,Zacian Crowned Sword,76.358,0.0,65.0
Heat Rotom,Zacian Crowned Sword,76.144,1.0,65.0
Charjabug,Ninetales,76.033,,
Dusclops,Incineroar,76.026,4.0,59.0
Inteleon,Zacian Crowned Sword,75.95,0.0,65.0
Coalossal,Rillaboom,75.559,1.0,27.0
Obstagoon,Zacian Crowned Sword,75.555,0.0,65.0
Durant,Calyrex Shadow Rider,75.551,0.0,22.0
Dusclops,Calyrex Ice Rider,75.519,4.0,11.0
Kartana,Zacian Crowned Sword,75.478,7.0,65.0
Heliolisk,Kyogre,75.471,0.0,35.0
Weavile,Zacian Crowned Sword,75.418,0.0,65.0
Accelgor,Palossand,75.418,0.0,0.0
Swoobat,Meowstic Male,75.315,0.0,0.0
Tyrantrum,Incineroar,75.266,0.0,59.0
Swoobat,Calyrex Shadow Rider,75.245,0.0,22.0
Lilligant,Torkoal,75.221,,3.0
Swoobat,Lugia,75.219,0.0,0.0
Registeel,Grimmsnarl,75.194,0.0,30.0
Swoobat,Metagross,75.128,0.0,1.0
Swoobat,Hatterene,75.128,0.0,0.0
Weavile,Kyogre,75.017,0.0,35.0
Tyrantrum,Calyrex Ice Rider,74.976,0.0,11.0
Giratina Origin Forme,Thundurus Incarnate Forme,74.97,0.0,21.0
Tyrantrum,Amoonguss,74.942,0.0,18.0
Tyrantrum,Scizor,74.942,0.0,0.0
Raichu,Kyogre,74.742,3.0,35.0
Sneasel,Lunala,74.647,0.0,2.0
Tsareena,Kyogre,74.266,0.0,35.0
Xerneas,Incineroar,74.256,4.0,59.0
Cloyster,Zacian Crowned Sword,74.181,0.0,65.0
Galarian Slowbro,Indeedee Female,74.109,,18.0
Exeggutor,Groudon,74.069,0.0,23.0
Sigilyph,Dracovish,73.92,,0.0
Tauros,Zacian Crowned Sword,73.885,0.0,65.0
Roserade,Togekiss,73.81,,1.0
Giratina Origin Forme,Dialga,73.764,0.0,4.0
Lurantis,Solgaleo,73.735,0.0,4.0
Centiskorch,Gastrodon,73.678,0.0,20.0
Tauros,Grimmsnarl,73.662,0.0,30.0
Sigilyph,Tsareena,73.575,,0.0
Sigilyph,Braviary,73.574,,
Sigilyph,Raichu,73.574,,3.0
Seaking,Urshifu Single Strike Style,73.51,,4.0
Lunala,Incineroar,73.243,2.0,59.0
Zapdos,Kyogre,73.176,8.0,35.0
Kangaskhan,Palkia,73.121,0.0,9.0
Heliolisk,Rillaboom,73.007,0.0,27.0
Salamence,Zacian Crowned Sword,72.967,0.0,65.0
Mienshao,Calyrex Shadow Rider,72.737,0.0,22.0
Heliolisk,Calyrex Shadow Rider,72.65,0.0,22.0
Heliolisk,Tornadus Incarnate Forme,72.58,0.0,8.0
Heliolisk,Toxicroak,72.574,0.0,0.0
Kommo-o,Groudon,72.571,0.0,23.0
Escavalier,Incineroar,72.42,0.0,59.0
Groudon,Charizard,72.403,23.0,19.0
Palkia,Incineroar,72.365,9.0,59.0
Rayquaza,Incineroar,72.361,1.0,59.0
Kangaskhan,Porygon2,72.3,0.0,9.0
Calyrex Ice Rider,Incineroar,72.17,11.0,59.0
Azumarill,Ho-oh,72.131,0.0,1.0
Landorus Therian Forme,Zacian Crowned Sword,72.049,20.0,65.0
Sneasel,Celesteela,72.029,0.0,1.0
Morpeko Full Belly Mode,Cinderace,71.992,,1.0
Regidrago,Zacian Crowned Sword,71.973,0.0,65.0
Giratina Origin Forme,Tornadus Incarnate Forme,71.97,0.0,8.0
Azumarill,Chansey,71.959,0.0,0.0
Azumarill,Liepard,71.955,0.0,0.0
Azumarill,Shuckle,71.955,0.0,0.0
Blastoise,Rillaboom,71.924,7.0,27.0
Stonjourner,Groudon,71.914,0.0,23.0
Poliwrath,Politoed,71.911,,0.0
Tapu Bulu,Gastrodon,71.795,0.0,20.0
Lurantis,Kyogre,71.771,0.0,35.0
Steelix,Togekiss,71.72,,1.0
Vikavolt,Grimmsnarl,71.586,0.0,30.0
Politoed,Calyrex Shadow Rider,71.488,0.0,22.0
Groudon,Incineroar,71.282,23.0,59.0
Vileplume,Torkoal,71.246,,3.0
Galarian Weezing,Incineroar,71.223,0.0,59.0
Blastoise,Calyrex Shadow Rider,71.101,7.0,22.0
Ninetales,Venusaur,71.038,,7.0
Galarian Weezing,Kyogre,70.934,0.0,35.0
Lurantis,Dusclops,70.86,0.0,4.0
Gastrodon,Incineroar,70.758,20.0,59.0
Weezing,Zacian Crowned Sword,70.597,2.0,65.0
Turtonator,Togekiss,70.579,,1.0
Rillaboom,Zacian Crowned Sword,70.548,27.0,65.0
Chandelure,Zacian Crowned Sword,70.533,0.0,65.0
Charizard,Incineroar,70.405,19.0,59.0
Tauros,Calyrex Shadow Rider,70.255,0.0,22.0
Thundurus Therian Forme,Zacian Crowned Sword,70.196,0.0,65.0
Kabutops,Zacian Crowned Sword,70.189,0.0,65.0
Regidrago,Kyogre,70.156,0.0,35.0
Vikavolt,Gastrodon,70.142,0.0,20.0
Sneasel,Umbreon,70.075,0.0,1.0
Gourgeist Small Size,Dragapult,70.037,,1.0
Weavile,Landorus Therian Forme,70.031,0.0,20.0
Zapdos,Zacian Crowned Sword,69.785,8.0,65.0
Mantine,Kyogre,69.748,0.0,35.0
Machamp,Zacian Crowned Sword,69.681,0.0,65.0
Alolan Persian,Zacian Crowned Sword,69.669,0.0,65.0
Machamp,Calyrex Shadow Rider,69.636,0.0,22.0
Machamp,Amoonguss,69.528,0.0,18.0
Alcremie,Solgaleo,69.495,0.0,4.0
Thundurus Incarnate Forme,Zacian Crowned Sword,69.339,21.0,65.0
Alolan Persian,Landorus Therian Forme,69.332,0.0,20.0
Emolga,Rillaboom,69.314,,27.0
Gourgeist Super Size,Bouffalant,69.29,,
Tapu Koko,Incineroar,69.215,0.0,59.0
Shiinotic,Togekiss,69.072,,1.0
Bronzong,Groudon,69.054,1.0,23.0
Frost Rotom,Urshifu Single Strike Style,68.931,,4.0
Frost Rotom,Indeedee Male,68.889,,1.0
Mantine,Zacian Crowned Sword,68.825,0.0,65.0
Aromatisse,Indeedee Female,68.768,,18.0
Alolan Persian,Kyogre,68.736,0.0,35.0
Barraskewda,Zacian Crowned Sword,68.544,1.0,65.0
Kingdra,Shedinja,68.456,3.0,4.0
Flareon,Jolteon,68.314,,
Lurantis,Tornadus Incarnate Forme,68.23,0.0,8.0
Lurantis,Spectrier,68.228,0.0,1.0
Shiftry,Palkia,68.175,0.0,9.0
Giratina Origin Forme,Bronzong,68.141,0.0,1.0
Crustle,Ribombee,68.128,,
Galarian Weezing,Regieleki,68.119,0.0,29.0
Kangaskhan,Incineroar,68.084,0.0,59.0
Tangela,Incineroar,68.014,,59.0
Tapu Lele,Kyogre,68.01,2.0,35.0
Sableye,Incineroar,67.992,2.0,59.0
Flareon,Sylveon,67.816,,
Tauros,Regieleki,67.802,0.0,29.0
Kangaskhan,Amoonguss,67.786,0.0,18.0
Rayquaza,Zacian Crowned Sword,67.541,1.0,65.0
Kabutops,Whimsicott,67.502,0.0,17.0
Roserade,Lapras,67.486,,1.0
Turtonator,Sirfetch'd,67.468,,
Galarian Weezing,Tornadus Incarnate Forme,67.44,0.0,8.0
Alcremie,Eternatus,67.395,0.0,1.0
Registeel,Venusaur,67.292,0.0,7.0
Sceptile,Incineroar,67.264,0.0,59.0
Flareon,Vaporeon,67.046,,
Tangela,Tyranitar,66.929,,0.0
Sceptile,Groudon,66.875,0.0,23.0
Slowking,Indeedee Male,66.874,0.0,1.0
Grimmsnarl,Zacian Crowned Sword,66.854,30.0,65.0
Heatran,Zacian Crowned Sword,66.854,0.0,65.0
Mime Galarian Mr. Mime,Zacian Crowned Sword,66.779,0.0,65.0
Slowking,Calyrex Ice Rider,66.718,0.0,11.0
Slowking,Hatterene,66.711,0.0,0.0
Alcremie,Thundurus Incarnate Forme,66.684,0.0,21.0
Exeggutor,Whimsicott,66.615,0.0,17.0
Flareon,Espeon,66.523,,0.0
Landorus Incarnate Forme,Incineroar,66.475,0.0,59.0
Alcremie,Grimmsnarl,66.455,0.0,30.0
Indeedee Male,Regieleki,66.451,1.0,29.0
Exeggutor,Grimmsnarl,66.433,0.0,30.0
Sceptile,Calyrex Ice Rider,66.429,0.0,11.0
Sceptile,Primarina,66.398,0.0,0.0
Manectric,Tornadus Incarnate Forme,66.388,0.0,8.0
Oranguru,Indeedee Female,66.271,0.0,18.0
Sceptile,Heat Rotom,66.189,0.0,1.0
Salamence,Incineroar,66.089,0.0,59.0
Machamp,Regieleki,66.044,0.0,29.0
Indeedee Male,Whimsicott,65.836,1.0,17.0
Bouffalant,Togekiss,65.761,,1.0
Alakazam,Indeedee Female,65.665,,18.0
Scizor,Incineroar,65.598,0.0,59.0
Suicune,Zacian Crowned Sword,65.499,0.0,65.0
Eiscue Ice Face,Milotic,65.475,,0.0
Inteleon,Indeedee Female,65.46,0.0,18.0
Shuckle,Liepard,65.449,0.0,0.0
Aerodactyl,Landorus Therian Forme,65.394,0.0,20.0
Eiscue Ice Face,Weavile,65.361,,0.0
Palkia,Amoonguss,65.32,9.0,18.0
Lapras,Zacian Crowned Sword,65.293,1.0,65.0
Tangela,Dragapult,65.287,,1.0
Tangela,Toxtricity Low Key Form,65.276,,
Tangela,Corviknight,65.276,,0.0
Blissey,Kyogre,65.255,0.0,35.0
Golurk,Togekiss,65.22,,1.0
Cinccino,Rillaboom,65.075,0.0,27.0
Alolan Raichu,Pincurchin,65.062,,0.0
Stonjourner,Zacian Crowned Sword,65.041,0.0,65.0
Registeel,Porygon2,65.014,0.0,9.0
Registeel,Torkoal,65.014,0.0,3.0
Gothitelle,Zacian Crowned Sword,64.952,2.0,65.0
Suicune,Groudon,64.868,0.0,23.0
Alcremie,Arcanine,64.819,0.0,0.0
Cinccino,Mudsdale,64.79,0.0,0.0
Regidrago,Whimsicott,64.79,0.0,17.0
Machamp,Galarian Moltres,64.757,0.0,0.0
Cinccino,Palkia,64.747,0.0,9.0
Cinccino,Cloyster,64.743,0.0,0.0
Moltres,Zacian Crowned Sword,64.729,0.0,65.0
Alolan Exeggutor,Indeedee Female,64.725,0.0,18.0
Flareon,Umbreon,64.554,,1.0
Klinklang,Kyogre,64.526,0.0,35.0
Lopunny,Cinderace,64.492,,1.0
Miltank,Rillaboom,64.419,,27.0
Indeedee Male,Calyrex Shadow Rider,64.363,1.0,22.0
Ditto,Zacian Crowned Sword,64.346,5.0,65.0
Klinklang,Calyrex Ice Rider,64.308,0.0,11.0
Entei,Zacian Crowned Sword,64.292,2.0,65.0
Ferrothorn,Zacian Crowned Sword,64.175,5.0,65.0
Frost Rotom,Rillaboom,64.139,,27.0
Klinklang,Cinderace,64.137,0.0,1.0
Golurk,Arcanine,64.104,,0.0
Cinderace,Kyogre,64.007,1.0,35.0
Stonjourner,Thundurus Incarnate Forme,63.961,0.0,21.0
Slowbro,Zacian Crowned Sword,63.914,0.0,65.0
Morpeko Full Belly Mode,Rillaboom,63.902,,27.0
Vanilluxe,Toxtricity Low Key Form,63.784,,
Bronzong,Thundurus Incarnate Forme,63.749,1.0,21.0
Mantine,Incineroar,63.725,0.0,59.0
Alolan Persian,Zapdos,63.684,0.0,8.0
Garchomp,Zacian Crowned Sword,63.682,0.0,65.0
Mime Galarian Mr. Mime,Kyogre,63.643,0.0,35.0
Slowbro,White Kyurem,63.53,0.0,2.0
Shiftry,Thundurus Incarnate Forme,63.501,0.0,21.0
Kabutops,Incineroar,63.496,0.0,59.0
Dugtrio,Solgaleo,63.465,0.0,4.0
Raikou,Kyogre,63.249,0.0,35.0
Hatterene,Calyrex Ice Rider,63.248,0.0,11.0
Dusclops,Amoonguss,63.232,4.0,18.0
Stoutland,Tyranitar,63.185,,0.0
Eiscue Ice Face,Dracovish,63.12,,0.0
Exeggutor,Celesteela,63.087,0.0,1.0
Exeggutor,Calyrex Shadow Rider,63.087,0.0,22.0
Turtonator,Milotic,63.024,,0.0
Grapploct,Lapras,62.94,,1.0
Chansey,Shuckle,62.893,0.0,0.0
Bronzong,Venusaur,62.841,1.0,7.0
Eiscue Ice Face,Glaceon,62.835,,0.0
Primarina,Sceptile,62.834,0.0,0.0
Slowbro,Indeedee Female,62.778,0.0,18.0
Bouffalant,Arcanine,62.752,,0.0
Trevenant,Calyrex Ice Rider,62.653,0.0,11.0
Dragapult,Zacian Crowned Sword,62.648,1.0,65.0
Slowbro,Ferrothorn,62.64,0.0,5.0
Slowbro,Hydreigon,62.636,0.0,0.0
Tornadus Incarnate Forme,Zacian Crowned Sword,62.536,8.0,65.0
Tapu Lele,Zacian Crowned Sword,62.42,2.0,65.0
Weavile,Ferrothorn,62.252,0.0,5.0
Mime Galarian Mr. Mime,Incineroar,62.249,0.0,59.0
Turtonator,Excadrill,62.204,,0.0
Ninjask,Cinderace,62.165,,1.0
Turtonator,Mimikyu,62.153,,2.0
Cloyster,Rillaboom,62.071,0.0,27.0
Weavile,Zapdos,62.063,0.0,8.0
Lycanroc Midnight Form,Cinderace,61.942,,1.0
Pelipper,Landorus Therian Forme,61.903,0.0,20.0
Wigglytuff,Dusclops,61.749,,4.0
Garchomp,Kyogre,61.593,0.0,35.0
Pelipper,Amoonguss,61.51,0.0,18.0
Rillaboom,Incineroar,61.378,27.0,59.0
Bronzong,Incineroar,61.32,1.0,59.0
Kingdra,Indeedee Female,61.284,3.0,18.0
Lycanroc Midday Form,Tyranitar,61.256,,0.0
Darmanitan Standard Mode,Thundurus Incarnate Forme,61.251,0.0,21.0
Gardevoir,Venusaur,61.187,,7.0
Ninjask,Riolu,61.16,,0.0
Ludicolo,Kyogre,61.151,0.0,35.0
Yveltal,Zacian Crowned Sword,61.076,11.0,65.0
Luxray,Dialga,61.07,0.0,4.0
Ninjask,Rillaboom,61.065,,27.0
Crustle,Snorlax,61.001,,0.0
Trevenant,Indeedee Female,60.994,0.0,18.0
Torkoal,Venusaur,60.94,3.0,7.0
Luxray,Zacian Crowned Sword,60.871,0.0,65.0
Amoonguss,Incineroar,60.857,18.0,59.0
Pelipper,Barraskewda,60.826,0.0,1.0
Dawn Wings Necrozma,Tapu Fini,60.816,1.0,2.0
Mamoswine,Zacian Crowned Sword,60.699,1.0,65.0
Primarina,Incineroar,60.687,0.0,59.0
Tapu Fini,Incineroar,60.676,2.0,59.0
Wash Rotom,Zacian Crowned Sword,60.672,0.0,65.0
Luxray,Whimsicott,60.642,0.0,17.0
Zamazenta Crowned Shield,Incineroar,60.636,0.0,59.0
Golurk,Porygon2,60.584,,9.0
Mimikyu,Calyrex Ice Rider,60.506,2.0,11.0
Luxray,Dracovish,60.498,0.0,0.0
Luxray,Galarian Zapdos,60.498,0.0,0.0
Thundurus Therian Forme,Kyogre,60.48,0.0,35.0
Crustle,Hitmontop,60.355,,0.0
Barraskewda,Kyogre,60.305,1.0,35.0
Flygon,Togekiss,60.298,,1.0
Xerneas,Groudon,60.273,4.0,23.0
Suicune,Incineroar,60.26,0.0,59.0
Blissey,Zacian Crowned Sword,60.248,0.0,65.0
Mantine,Rillaboom,60.234,0.0,27.0
Lugia,Zacian Crowned Sword,60.177,0.0,65.0
Galarian Slowbro,Torkoal,60.141,,3.0
Gardevoir,Torkoal,60.137,,3.0
Unfezant,Togekiss,60.092,,1.0
Raikou,Solgaleo,59.962,0.0,4.0
Trevenant,Groudon,59.852,0.0,23.0
Gourgeist Small Size,Cinderace,59.823,,1.0
Landorus Incarnate Forme,Regieleki,59.821,0.0,29.0
Golurk,Whimsicott,59.767,,17.0
Black Kyurem,Grimmsnarl,59.729,0.0,30.0
Bouffalant,Gourgeist Super Size,59.624,,
Incineroar,Zacian Crowned Sword,59.583,59.0,65.0
Slurpuff,Indeedee Male,59.442,,1.0
Sableye,Rillaboom,59.438,2.0,27.0
Crustle,Golduck,59.374,,
Hydreigon,Zacian Crowned Sword,59.36,0.0,65.0
Galvantula,Gyarados,59.335,,0.0
Miltank,Comfey,59.271,,1.0
Galvantula,Togedemaru,59.242,,0.0
Galvantula,Lucario,59.241,,0.0
Palossand,Yveltal,59.202,0.0,11.0
Nihilego,Zacian Crowned Sword,59.092,0.0,65.0
Tapu Lele,Amoonguss,59.037,2.0,18.0
Aerodactyl,Calyrex Shadow Rider,58.978,0.0,22.0
Stonjourner,Incineroar,58.958,0.0,59.0
Yveltal,Incineroar,58.851,11.0,59.0
Alolan Persian,Ferrothorn,58.824,0.0,5.0
Dugtrio,Incineroar,58.785,0.0,59.0
Dugtrio,Calyrex Shadow Rider,58.595,0.0,22.0
Unfezant,Rillaboom,58.594,,27.0
Dugtrio,Rillaboom,58.584,0.0,27.0
Dugtrio,Galarian Zapdos,58.583,0.0,0.0
Blissey,Landorus Therian Forme,58.495,0.0,20.0
Shuckle,Indeedee Female,58.475,0.0,18.0
Blissey,Primarina,58.463,0.0,0.0
Blissey,Sceptile,58.463,0.0,0.0
Golurk,Gyarados,58.331,,0.0
Trevenant,Amoonguss,58.277,0.0,18.0
Charizard,Zacian Crowned Sword,58.274,19.0,65.0
Trevenant,Sableye,58.166,0.0,2.0
Primarina,Groudon,58.155,0.0,23.0
Scizor,Groudon,58.088,0.0,23.0
Scizor,White Kyurem,58.079,0.0,2.0
Clawitzer,Rillaboom,58.057,,27.0
Venusaur,Incineroar,58.019,7.0,59.0
Miltank,Lapras,57.979,,1.0
Mr. Mime,Chansey,57.922,,0.0
Mr. Mime,Shuckle,57.922,,0.0
Aerodactyl,Indeedee Female,57.845,0.0,18.0
Lucario,Kyogre,57.711,0.0,35.0
Urshifu Rapid Strike Style,Incineroar,57.635,2.0,59.0
Kabutops,Thundurus Incarnate Forme,57.505,0.0,21.0
Seismitoad,Zacian Crowned Sword,57.494,1.0,65.0
Lapras,Incineroar,57.418,1.0,59.0
Charizard,Grimmsnarl,57.381,19.0,30.0
Spectrier,Incineroar,57.375,1.0,59.0
Froslass,Grimmsnarl,57.336,0.0,30.0
Reshiram,Grimmsnarl,57.213,1.0,30.0
Shiftry,Entei,57.156,0.0,2.0
Shiftry,Gothitelle,57.156,0.0,2.0
Hawlucha,Zacian Crowned Sword,57.146,0.0,65.0
Kyogre,Zacian Crowned Sword,57.093,35.0,65.0
