pokemon,category,name,usage_percent
Alolan Persian,move,Fake Tears,82.176
Alolan Raichu,ability,Surge Surfer,100.0
Alolan Raichu,item,Choice Specs,27.238
Alolan Raichu,item,Focus Sash,22.574
Alolan Raichu,item,Magnet,22.47
Alolan Raichu,move,Expanding Force,93.056
Alolan Raichu,move,Rising Voltage,90.9
Alolan Raichu,move,Fake Out,43.195
Alolan Raichu,move,Protect,40.703
Alolan Sandslash,ability,Slush Rush,99.585
Alolan Sandslash,ability,Snow Cloak,0.415
Alolan Sandslash,item,Life Orb,62.151
Alolan Sandslash,item,Focus Sash,15.764
Alolan Sandslash,item,Assault Vest,7.375
Alolan Sandslash,move,Iron Head,64.331
Alolan Sandslash,move,Protect,56.919
Alolan Sandslash,move,Drill Run,54.276
Alolan Sandslash,move,Icicle Crash,50.796
Altaria,ability,Cloud Nine,99.797
Altaria,ability,Natural Cure,0.203
Altaria,item,Mago Berry,61.367
Altaria,item,Focus Sash,28.807
Altaria,item,Sitrus Berry,6.059
Altaria,move,Tailwind,99.835
Altaria,move,Breaking Swipe,64.512
Altaria,move,Haze,61.551
Altaria,move,Dual Wingbeat,61.366
Amoonguss,ability,Regenerator,97.913
Amoonguss,ability,Effect Spore,2.087
Amoonguss,item,Coba Berry,50.111
Amoonguss,item,Mental Herb,16.966
Amoonguss,item,Focus Sash,15.017
Amoonguss,move,Spore,99.938
Amoonguss,move,Rage Powder,99.642
Amoonguss,move,Protect,87.546
Amoonguss,move,Pollen Puff,46.926
Appletun,ability,Thick Fat,95.609
Appletun,ability,Ripen,4.382
Appletun,item,Sitrus Berry,41.473
Appletun,item,Leftovers,28.644
Appletun,item,Choice Specs,19.493
Appletun,move,Protect,77.286
Appletun,move,Leech Seed,74.628
Appletun,move,Draco Meteor,61.082
Appletun,move,Giga Drain,39.789
Araquanid,ability,Water Bubble,99.627
Araquanid,ability,Water Absorb,0.373
Araquanid,item,Safety Goggles,38.966
Araquanid,item,Iron Ball,20.633
Araquanid,item,Life Orb,18.728
Araquanid,move,Wide Guard,97.829
Araquanid,move,Liquidation,91.623
Araquanid,move,Protect,63.689
Araquanid,move,Leech Life,43.037
Arcanine,ability,Intimidate,94.35
Arcanine,ability,Justified,5.489
Arcanine,item,Focus Sash,46.913
Arcanine,item,Rocky Helmet,11.384
Arcanine,item,Sitrus Berry,10.225
Arcanine,move,Will O Wisp,89.474
Arcanine,move,Snarl,66.137
Arcanine,move,Safeguard,50.625
Arcanine,move,Heat Wave,48.54
Arctovish,ability,Water Absorb,99.977
Arctovish,ability,Ice Body,0.023
Arctovish,item,Weakness Policy,95.378
Arctovish,item,Other,4.622
Arctovish,move,Fishious Rend,99.981
Arctovish,move,Protect,98.319
Arctovish,move,Freeze Dry,97.435
Arctovish,move,Icicle Spear,96.61
Arctozolt,ability,Volt Absorb,93.586
Arctozolt,ability,Static,6.414
Arctozolt,item,Weakness Policy,24.96
Arctozolt,item,Magnet,21.542
Arctozolt,item,Assault Vest,20.999
Arctozolt,move,Bolt Beak,97.917
Arctozolt,move,Icicle Crash,96.658
Arctozolt,move,Stomping Tantrum,71.558
Arctozolt,move,Protect,54.673
Aromatisse,ability,Aroma Veil,87.03
Aromatisse,ability,Healer,12.97
Aromatisse,item,Babiri Berry,80.999
Aromatisse,item,Light Clay,13.098
Aromatisse,item,Other,4.152
Aromatisse,move,Trick Room,99.68
Aromatisse,move,Dazzling Gleam,82.277
Aromatisse,move,Heal Pulse,70.075
Aromatisse,move,Helping Hand,46.579
Articuno,ability,Snow Cloak,55.412
Articuno,ability,Pressure,44.588
Articuno,item,Life Orb,52.814
Articuno,item,Babiri Berry,31.76
Articuno,item,Weakness Policy,10.774
Articuno,move,Tailwind,85.309
Articuno,move,Freeze Dry,67.208
Articuno,move,Hurricane,67.066
Articuno,move,Weather Ball,47.691
Azumarill,ability,Sap Sipper,77.089
Azumarill,ability,Huge Power,22.903
Azumarill,item,Sitrus Berry,82.03
Azumarill,item,Assault Vest,8.581
Azumarill,item,Other,3.498
Azumarill,move,Protect,86.11
Azumarill,move,Scald,76.433
Azumarill,move,Perish Song,76.382
Azumarill,move,Sing,76.263
Barraskewda,ability,Swift Swim,94.017
Barraskewda,ability,Propeller Tail,5.983
Barraskewda,item,Life Orb,78.3
Barraskewda,item,White Herb,11.576
Barraskewda,item,Choice Scarf,5.501
Barraskewda,move,Liquidation,84.181
Barraskewda,move,Bounce,83.742
Barraskewda,move,Drill Run,63.825
Barraskewda,move,Throat Chop,55.04
Beartic,ability,Slush Rush,76.245
Beartic,ability,Swift Swim,23.592
Beartic,item,Life Orb,33.198
Beartic,item,Choice Band,28.503
Beartic,item,Assault Vest,24.972
Beartic,move,Icicle Crash,99.809
Beartic,move,Liquidation,62.331
Beartic,move,Superpower,52.894
Beartic,move,Play Rough,51.433
Beheeyem,ability,Analytic,93.409
Beheeyem,ability,Telepathy,5.687
Beheeyem,item,Life Orb,40.397
Beheeyem,item,Power Herb,39.385
Beheeyem,item,Focus Sash,9.3
Beheeyem,move,Expanding Force,93.324
Beheeyem,move,Energy Ball,90.038
Beheeyem,move,Flash Cannon,73.532
Beheeyem,move,Thunderbolt,45.944
Bewear,ability,Fluffy,99.822
Bewear,ability,Unnerve,0.176
Bewear,item,Leftovers,81.296
Bewear,item,Assault Vest,13.436
Bewear,item,Lum Berry,3.722
Bewear,move,Drain Punch,92.737
Bewear,move,Darkest Lariat,91.567
Bewear,move,Protect,86.025
Bewear,move,Bulk Up,81.476
Bisharp,ability,Defiant,97.829
Bisharp,ability,Inner Focus,2.171
Bisharp,item,Focus Sash,43.1
Bisharp,item,Life Orb,24.06
Bisharp,item,Black Glasses,22.243
Bisharp,move,Sucker Punch,96.162
Bisharp,move,Iron Head,78.545
Bisharp,move,Low Kick,46.327
Bisharp,move,Stone Edge,34.534
Blacephalon,ability,Beast Boost,100.0
Blacephalon,item,Choice Scarf,75.549
Blacephalon,item,Life Orb,16.947
Blacephalon,item,Other,3.786
Blacephalon,move,Shadow Ball,83.472
Blacephalon,move,Mind Blown,81.186
Blacephalon,move,Trick,64.784
Blacephalon,move,Solar Beam,42.024
Black Kyurem,ability,Teravolt,100.0
Black Kyurem,item,Babiri Berry,25.146
Black Kyurem,item,Weakness Policy,23.62
Black Kyurem,item,Power Herb,22.706
Black Kyurem,move,Fusion Bolt,92.083
Black Kyurem,move,Protect,87.031
Black Kyurem,move,Icicle Spear,64.503
Black Kyurem,move,Dragon Claw,39.873
Blastoise,ability,Torrent,86.365
Blastoise,ability,Rain Dish,13.635
Blastoise,item,Wacan Berry,60.82
Blastoise,item,Assault Vest,21.366
Blastoise,item,Mystic Water,8.865
Blastoise,move,Hydro Cannon,85.941
Blastoise,move,Fake Out,60.24
Blastoise,move,Yawn,59.178
Blastoise,move,Blizzard,52.957
Blaziken,ability,Speed Boost,99.99
Blaziken,ability,Blaze,0.01
Blaziken,item,Focus Sash,29.963
Blaziken,item,Wide Lens,19.22
Blaziken,item,Air Balloon,17.931
Blaziken,move,Protect,78.281
Blaziken,move,Heat Wave,65.534
Blaziken,move,Close Combat,30.935
Blaziken,move,Coaching,29.875
Blissey,ability,Serene Grace,69.948
Blissey,ability,Natural Cure,26.999
Blissey,item,Choice Scarf,58.463
Blissey,item,Leftovers,39.97
Blissey,item,Other,1.567
Blissey,move,Helping Hand,83.865
Blissey,move,Life Dew,58.644
Blissey,move,Body Slam,58.495
Blissey,move,Rock Slide,58.463
Boltund,ability,Competitive,99.574
Boltund,ability,Strong Jaw,0.426
Boltund,item,Focus Sash,95.921
Boltund,item,Other,4.079
Boltund,move,Electrify,52.913
Boltund,move,Snarl,50.59
Boltund,move,Thunderbolt,50.185
Boltund,move,Nuzzle,49.07
Bouffalant,ability,Sap Sipper,99.032
Bouffalant,ability,Soundproof,0.55
Bouffalant,item,Assault Vest,75.369
Bouffalant,item,Life Orb,12.927
Bouffalant,item,Other,4.372
Bouffalant,move,Head Charge,89.719
Bouffalant,move,High Horsepower,85.37
Bouffalant,move,Close Combat,81.375
Bouffalant,move,Lash Out,61.087
Braviary,ability,Defiant,99.876
Braviary,ability,Keen Eye,0.104
Braviary,item,Lum Berry,49.678
Braviary,item,Safety Goggles,18.173
Braviary,item,Life Orb,14.766
Braviary,move,Brave Bird,99.987
Braviary,move,Close Combat,97.334
Braviary,move,Protect,70.32
Braviary,move,Rock Slide,46.238
Bronzong,ability,Levitate,99.369
Bronzong,ability,Heatproof,0.625
Bronzong,item,Leftovers,73.326
Bronzong,item,Mental Herb,7.286
Bronzong,item,Sitrus Berry,7.268
Bronzong,move,Body Press,90.996
Bronzong,move,Trick Room,89.1
Bronzong,move,Ally Switch,82.713
Bronzong,move,Iron Defense,82.208
Butterfree,ability,Compound Eyes,99.334
Butterfree,ability,Tinted Lens,0.666
Butterfree,item,Focus Sash,89.068
Butterfree,item,Choice Scarf,6.238
Butterfree,item,Other,4.694
Butterfree,move,Sleep Powder,96.23
Butterfree,move,Rage Powder,81.326
Butterfree,move,Pollen Puff,79.36
Butterfree,move,Tailwind,66.78
Calyrex Ice Rider,item,Weakness Policy,39.275
Calyrex Ice Rider,item,Babiri Berry,32.411
Calyrex Ice Rider,item,White Herb,11.253
Calyrex Ice Rider,move,Glacial Lance,99.987
Calyrex Ice Rider,move,High Horsepower,81.641
Calyrex Ice Rider,move,Trick Room,80.271
Calyrex Ice Rider,move,Protect,50.254
Calyrex Shadow Rider,item,Focus Sash,61.341
Calyrex Shadow Rider,item,Choice Specs,19.098
Calyrex Shadow Rider,item,Life Orb,14.525
Calyrex Shadow Rider,move,Astral Barrage,99.995
Calyrex Shadow Rider,move,Protect,71.432
Calyrex Shadow Rider,move,Expanding Force,44.349
Calyrex Shadow Rider,move,Will O Wisp,42.417
Celesteela,ability,Beast Boost,100.0
Celesteela,item,Assault Vest,28.431
Celesteela,item,Sitrus Berry,20.166
Celesteela,item,Leftovers,16.158
Celesteela,move,Air Slash,61.181
Celesteela,move,Flash Cannon,58.062
Celesteela,move,Protect,56.26
Celesteela,move,Meteor Beam,45.651
Centiskorch,ability,White Smoke,99.043
Centiskorch,ability,Flash Fire,0.957
Centiskorch,item,Coba Berry,54.127
Centiskorch,item,Safety Goggles,21.084
Centiskorch,item,Leftovers,16.943
Centiskorch,move,Flare Blitz,94.147
Centiskorch,move,Power Whip,93.6
Centiskorch,move,Leech Life,86.706
Centiskorch,move,Protect,53.474
Chandelure,ability,Flash Fire,96.273
Chandelure,ability,Infiltrator,3.642
Chandelure,item,Safety Goggles,40.519
Chandelure,item,Focus Sash,31.743
Chandelure,item,Sitrus Berry,19.876
Chandelure,move,Heat Wave,85.717
Chandelure,move,Shadow Ball,83.892
Chandelure,move,Trick Room,73.539
Chandelure,move,Imprison,61.233
Chansey,ability,Natural Cure,57.598
Chansey,ability,Healer,31.382
Chansey,item,Eviolite,98.059
Chansey,item,Other,1.941
Chansey,move,Seismic Toss,99.814
Chansey,move,Soft Boiled,99.724
Chansey,move,Minimize,67.107
Chansey,move,Ally Switch,34.467
Charizard,ability,Solar Power,99.348
Charizard,ability,Blaze,0.652
Charizard,item,Lum Berry,39.492
Charizard,item,Life Orb,28.879
Charizard,item,Charti Berry,21.713
Charizard,move,Blast Burn,88.243
Charizard,move,Protect,83.021
Charizard,move,Hurricane,80.422
Charizard,move,Ancient Power,48.995
Charjabug,ability,Battery,100.0
Charjabug,item,Power Lens,76.569
Charjabug,item,Eviolite,16.998
Charjabug,item,Other,3.226
Charjabug,move,Light Screen,94.869
Charjabug,move,Round,90.095
Charjabug,move,Eerie Impulse,84.456
Charjabug,move,Bug Bite,82.394
Cherrim,ability,Flower Gift,100.0
Cherrim,item,Focus Sash,78.532
Cherrim,item,Miracle Seed,9.329
Cherrim,item,Other,4.81
Cherrim,move,Helping Hand,91.494
Cherrim,move,Pollen Puff,82.623
Cherrim,move,Protect,74.909
Cherrim,move,Petal Blizzard,35.447
Cinccino,ability,Skill Link,89.304
Cinccino,ability,Technician,10.696
Cinccino,item,Choice Scarf,64.809
Cinccino,item,Focus Sash,14.727
Cinccino,item,Expert Belt,10.712
Cinccino,move,Triple Axel,86.956
Cinccino,move,Bullet Seed,85.481
Cinccino,move,Rock Blast,85.25
Cinccino,move,Tail Slap,72.288
Cinderace,ability,Libero,99.701
Cinderace,ability,Blaze,0.299
Cinderace,item,Life Orb,41.424
Cinderace,item,White Herb,33.648
Cinderace,item,Focus Sash,15.05
Cinderace,move,Sucker Punch,92.159
Cinderace,move,Bounce,80.27
Cinderace,move,High Jump Kick,80.067
Cinderace,move,Pyro Ball,73.923
Clawitzer,ability,Mega Launcher,100.0
Clawitzer,item,Life Orb,38.251
Clawitzer,item,Choice Specs,18.107
Clawitzer,item,Assault Vest,13.47
Clawitzer,move,Water Pulse,89.989
Clawitzer,move,Terrain Pulse,79.634
Clawitzer,move,Aura Sphere,66.612
Clawitzer,move,Dark Pulse,51.133
Claydol,ability,Levitate,100.0
Claydol,item,Aguav Berry,48.911
Claydol,item,Leftovers,22.161
Claydol,item,Iron Ball,10.93
Claydol,move,Trick Room,86.003
Claydol,move,Imprison,72.714
Claydol,move,Ally Switch,67.222
Claydol,move,Body Press,49.779
Clefable,ability,Unaware,88.634
Clefable,ability,Magic Guard,8.446
Clefable,item,Babiri Berry,82.981
Clefable,item,Leftovers,11.29
Clefable,item,Focus Sash,3.026
Clefable,move,Follow Me,93.001
Clefable,move,Protect,89.806
Clefable,move,Helping Hand,84.697
Clefable,move,Mystical Fire,82.886
Clefairy,ability,Friend Guard,99.864
Clefairy,ability,Cute Charm,0.111
Clefairy,item,Eviolite,86.232
Clefairy,item,Focus Sash,13.145
Clefairy,item,Other,0.623
Clefairy,move,Follow Me,98.9
Clefairy,move,Helping Hand,94.232
Clefairy,move,Protect,87.372
Clefairy,move,Moonblast,31.046
Cloyster,ability,Skill Link,99.96
Cloyster,ability,Overcoat,0.039
Cloyster,item,Focus Sash,68.264
Cloyster,item,White Herb,26.789
Cloyster,item,Other,4.947
Cloyster,move,Icicle Spear,99.961
Cloyster,move,Rock Blast,99.599
Cloyster,move,Liquidation,68.399
Cloyster,move,Protect,60.618
Coalossal,ability,Steam Engine,99.731
Coalossal,ability,Flame Body,0.209
Coalossal,item,Weakness Policy,93.952
Coalossal,item,Room Service,3.744
Coalossal,item,Other,2.305
Coalossal,move,Protect,95.081
Coalossal,move,Meteor Beam,92.932
Coalossal,move,Heat Wave,92.384
Coalossal,move,Solar Beam,91.809
Cobalion,ability,Justified,100.0
Cobalion,item,Assault Vest,81.598
Cobalion,item,Life Orb,15.128
Cobalion,item,Other,3.273
Cobalion,move,Iron Head,90.211
Cobalion,move,Close Combat,88.937
Cobalion,move,Stone Edge,81.122
Cobalion,move,Bounce,76.306
Cofagrigus,ability,Mummy,100.0
Cofagrigus,item,Colbur Berry,55.098
Cofagrigus,item,Mental Herb,19.563
Cofagrigus,item,Sitrus Berry,10.38
Cofagrigus,move,Trick Room,97.278
Cofagrigus,move,Ally Switch,71.905
Cofagrigus,move,Shadow Ball,63.942
Cofagrigus,move,Body Press,52.355
Comfey,ability,Triage,99.754
Comfey,ability,Flower Veil,0.245
Comfey,item,Babiri Berry,61.098
Comfey,item,Focus Sash,19.302
Comfey,item,Mental Herb,16.553
Comfey,move,Floral Healing,98.635
Comfey,move,Draining Kiss,81.263
Comfey,move,Trick Room,61.193
Comfey,move,Ally Switch,53.806
Conkeldurr,ability,Guts,72.659
Conkeldurr,ability,Iron Fist,25.85
Conkeldurr,item,Flame Orb,74.91
Conkeldurr,item,Assault Vest,13.355
Conkeldurr,item,Life Orb,9.282
Conkeldurr,move,Ice Punch,72.094
Conkeldurr,move,Mach Punch,56.263
Conkeldurr,move,Close Combat,48.927
Conkeldurr,move,Protect,45.108
Copperajah,ability,Sheer Force,85.824
Copperajah,ability,Heavy Metal,14.176
Copperajah,item,Assault Vest,30.805
Copperajah,item,Weakness Policy,29.296
Copperajah,item,Life Orb,19.829
Copperajah,move,Iron Head,61.24
Copperajah,move,High Horsepower,49.202
Copperajah,move,Rock Slide,44.164
Copperajah,move,Power Whip,41.499
Corsola,ability,Hustle,100.0
Corsola,ability,Regenerator,0.0
Corsola,item,Weakness Policy,99.266
Corsola,item,Other,0.734
Corsola,move,Protect,99.994
Corsola,move,Liquidation,99.994
Corsola,move,Head Smash,99.994
Corsola,move,Throat Chop,94.336
Corviknight,ability,Mirror Armor,97.174
Corviknight,ability,Pressure,2.274
Corviknight,item,Leftovers,67.236
Corviknight,item,Rocky Helmet,11.889
Corviknight,item,Occa Berry,10.75
Corviknight,move,Brave Bird,89.734
Corviknight,move,Roost,81.883
Corviknight,move,Tailwind,77.586
Corviknight,move,Iron Head,60.238
Cradily,ability,Storm Drain,99.993
Cradily,ability,Suction Cups,0.007
Cradily,item,Leftovers,47.894
Cradily,item,Power Herb,42.168
Cradily,item,Other,3.211
Cradily,move,Protect,76.158
Cradily,move,Giga Drain,51.129
Cradily,move,Leech Seed,50.409
Cradily,move,Meteor Beam,42.174
Crawdaunt,ability,Adaptability,91.071
Crawdaunt,ability,Hyper Cutter,8.929
Crawdaunt,item,Life Orb,43.352
Crawdaunt,item,Assault Vest,19.958
Crawdaunt,item,Mystic Water,18.918
Crawdaunt,move,Aqua Jet,92.698
Crawdaunt,move,Knock Off,66.303
Crawdaunt,move,Crabhammer,54.524
Crawdaunt,move,Crunch,40.591
Cresselia,ability,Levitate,100.0
Cresselia,item,Leftovers,38.119
Cresselia,item,Mental Herb,18.978
Cresselia,item,Kee Berry,17.991
Cresselia,move,Trick Room,71.706
Cresselia,move,Helping Hand,52.563
Cresselia,move,Moonlight,46.023
Cresselia,move,Ally Switch,34.486
Crobat,ability,Inner Focus,79.033
Crobat,ability,Infiltrator,20.967
Crobat,item,Focus Sash,68.577
Crobat,item,Mental Herb,26.423
Crobat,item,Wide Lens,2.661
Crobat,move,Tailwind,99.06
Crobat,move,Haze,83.127
Crobat,move,Brave Bird,74.159
Crobat,move,Hypnosis,53.85
Crustle,ability,Weak Armor,86.481
Crustle,ability,Sturdy,13.509
Crustle,item,Weakness Policy,68.372
Crustle,item,Focus Sash,16.91
Crustle,item,White Herb,13.241
Crustle,move,X Scissor,98.898
Crustle,move,Earthquake,94.413
Crustle,move,Rock Slide,82.689
Crustle,move,Rock Wrecker,67.011
Cursola,ability,Perish Body,81.619
Cursola,ability,Weak Armor,18.381
Cursola,item,Power Herb,19.598
Cursola,item,Focus Sash,18.92
Cursola,item,Weakness Policy,16.755
Cursola,move,Shadow Ball,99.079
Cursola,move,Earth Power,63.529
Cursola,move,Burning Jealousy,46.833
Cursola,move,Giga Drain,29.145
Darmanitan Galarian Standard Mode,ability,Gorilla Tactics,99.777
Darmanitan Galarian Standard Mode,ability,Zen Mode,0.223
Darmanitan Galarian Standard Mode,item,Choice Scarf,98.092
Darmanitan Galarian Standard Mode,item,Other,1.908
Darmanitan Galarian Standard Mode,move,Icicle Crash,99.805
Darmanitan Galarian Standard Mode,move,Flare Blitz,99.507
Darmanitan Galarian Standard Mode,move,U Turn,58.343
Darmanitan Galarian Standard Mode,move,Superpower,49.018
Darmanitan Standard Mode,ability,Sheer Force,99.903
Darmanitan Standard Mode,ability,Zen Mode,0.097
Darmanitan Standard Mode,item,Choice Scarf,87.895
Darmanitan Standard Mode,item,Life Orb,9.677
Darmanitan Standard Mode,item,Other,2.428
Darmanitan Standard Mode,move,Flare Blitz,97.886
Darmanitan Standard Mode,move,U Turn,88.11
Darmanitan Standard Mode,move,Rock Slide,82.09
Darmanitan Standard Mode,move,Earthquake,46.316
Dawn Wings Necrozma,ability,Prism Armor,100.0
Dawn Wings Necrozma,item,Power Herb,95.899
Dawn Wings Necrozma,item,Other,4.101
Dawn Wings Necrozma,move,Moongeist Beam,99.996
Dawn Wings Necrozma,move,Trick Room,98.313
Dawn Wings Necrozma,move,Meteor Beam,95.905
Dawn Wings Necrozma,move,Gravity,67.415
Decidueye,ability,Overgrow,72.437
Decidueye,ability,Long Reach,27.563
Decidueye,item,Assault Vest,38.667
Decidueye,item,Choice Specs,19.346
Decidueye,item,Life Orb,13.526
Decidueye,move,Leaf Blade,50.742
Decidueye,move,Poltergeist,48.827
Decidueye,move,U Turn,33.197
Decidueye,move,Brave Bird,30.498
Dedenne,ability,Cheek Pouch,67.092
Dedenne,ability,Pickup,20.966
Dedenne,item,Aguav Berry,37.886
Dedenne,item,Sitrus Berry,27.526
Dedenne,item,Choice Scarf,19.245
Dedenne,move,Nuzzle,83.039
Dedenne,move,Electroweb,58.466
Dedenne,move,Volt Switch,46.859
Dedenne,move,Ally Switch,43.42
Dhelmise,ability,Steelworker,100.0
Dhelmise,item,Weakness Policy,27.678
Dhelmise,item,Assault Vest,22.91
Dhelmise,item,Iron Ball,20.09
Dhelmise,move,Poltergeist,83.651
Dhelmise,move,Power Whip,72.612
Dhelmise,move,Anchor Shot,54.891
Dhelmise,move,Grassy Glide,41.392
Dialga,ability,Pressure,58.21
Dialga,ability,Telepathy,41.79
Dialga,item,Life Orb,76.991
Dialga,item,Adamant Orb,10.411
Dialga,item,Weakness Policy,5.436
Dialga,move,Earth Power,87.838
Dialga,move,Roar Of Time,83.577
Dialga,move,Flash Cannon,81.213
Dialga,move,Trick Room,34.785
Diggersby,ability,Huge Power,100.0
Diggersby,ability,Pickup,0.0
Diggersby,item,Assault Vest,49.621
Diggersby,item,Life Orb,43.344
Diggersby,item,White Herb,6.428
Diggersby,move,Foul Play,99.644
Diggersby,move,High Horsepower,90.169
Diggersby,move,Protect,50.219
Diggersby,move,Rock Slide,49.671
Ditto,ability,Imposter,99.969
Ditto,ability,Limber,0.031
Ditto,item,Choice Scarf,92.212
Ditto,item,Other,3.718
Ditto,item,Sitrus Berry,2.117
Ditto,move,Transform,100.0
Dracovish,ability,Strong Jaw,85.684
Dracovish,ability,Sand Rush,7.501
Dracovish,item,Iron Ball,28.129
Dracovish,item,Choice Band,25.899
Dracovish,item,Choice Scarf,17.511
Dracovish,move,Fishious Rend,99.997
Dracovish,move,Psychic Fangs,62.715
Dracovish,move,Crunch,50.063
Dracovish,move,Protect,45.752
Dracozolt,ability,Hustle,68.885
Dracozolt,ability,Sand Rush,29.76
Dracozolt,item,Life Orb,80.082
Dracozolt,item,Choice Band,15.819
Dracozolt,item,Other,4.099
Dracozolt,move,Bolt Beak,99.987
Dracozolt,move,Protect,77.202
Dracozolt,move,Fire Fang,39.85
Dracozolt,move,Bulldoze,37.996
Dragalge,ability,Adaptability,99.169
Dragalge,ability,Poison Point,0.805
Dragalge,item,Weakness Policy,51.06
Dragalge,item,Life Orb,34.982
Dragalge,item,Safety Goggles,6.299
Dragalge,move,Protect,92.448
Dragalge,move,Draco Meteor,88.575
Dragalge,move,Sludge Bomb,86.902
Dragalge,move,Thunderbolt,45.673
Dragapult,ability,Clear Body,96.639
Dragapult,ability,Infiltrator,1.73
Dragapult,item,Focus Sash,43.349
Dragapult,item,Life Orb,28.191
Dragapult,item,Assault Vest,6.433
Dragapult,move,Dragon Darts,83.82
Dragapult,move,Phantom Force,75.683
Dragapult,move,Fly,69.188
Dragapult,move,Will O Wisp,48.47
Dragonite,ability,Multiscale,68.634
Dragonite,ability,Inner Focus,31.366
Dragonite,item,Choice Band,33.999
Dragonite,item,Weakness Policy,19.822
Dragonite,item,Expert Belt,13.94
Dragonite,move,Dual Wingbeat,87.537
Dragonite,move,Extreme Speed,51.549
Dragonite,move,Earthquake,38.584
Dragonite,move,Breaking Swipe,38.497
Drampa,ability,Cloud Nine,87.48
Drampa,ability,Sap Sipper,8.813
Drampa,item,Assault Vest,84.051
Drampa,item,Life Orb,12.481
Drampa,item,Other,3.469
Drampa,move,Hyper Voice,94.163
Drampa,move,Flamethrower,87.07
Drampa,move,Draco Meteor,58.197
Drampa,move,Snarl,47.343
Drapion,ability,Battle Armor,80.102
Drapion,ability,Sniper,19.843
Drapion,item,Shuca Berry,27.881
Drapion,item,Safety Goggles,26.379
Drapion,item,Assault Vest,24.041
Drapion,move,Knock Off,82.58
Drapion,move,Taunt,60.279
