ID,Name,Species,Variant,Generation,Rarity,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank,image_url,missing_base_stats,offensive_score,defensive_score,speed_tier,is_single_type,is_legendary,is_mythical,has_usage_data,is_permitted_vgc2022,stat_specialization,normalized_name
22,Fearow,Fearow,,1,Common,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,False,90.0,191.0,fast,False,False,False,False,False,31.599999999999994,fearow
23,Ekans,Ekans,,1,Common,Poison,,288.0,35.0,60.0,44.0,40.0,54.0,55.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,False,60.0,133.0,mid,True,False,False,False,False,14.399999999999999,ekans
24,Arbok,Arbok,,1,Common,Poison,,448.0,60.0,95.0,69.0,65.0,79.0,80.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,False,95.0,208.0,mid,True,False,False,False,False,24.400000000000006,arbok
25,Pikachu Gigantamax,Pikachu,Gigantamax,8,,Electric,,,,,,,,,Gigantamax Allowed,,,,https://archives.bulbagarden.net/media/upload/b/be/025GiMS8.png,True,,,,True,False,False,False,True,,pikachu gigantamax
25,Pikachu,Pikachu,,1,Common,Electric,,320.0,35.0,55.0,40.0,50.0,50.0,90.0,Permitted,13,0,119,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,False,55.0,125.0,fast,True,False,False,True,True,44.0,pikachu
25,Partner Pikachu,Pikachu,Partner,1,Common,Electric,,430.0,45.0,80.0,50.0,75.0,60.0,120.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,False,80.0,155.0,elite,True,False,False,False,False,58.0,partner pikachu
26,Alolan Raichu,Raichu,Alolan,7,Common,Electric,Psychic,485.0,60.0,85.0,50.0,95.0,85.0,110.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,False,95.0,195.0,fast,False,False,False,False,False,35.0,alolan raichu
26,Raichu,Raichu,,1,Common,Electric,,485.0,60.0,90.0,55.0,90.0,80.0,110.0,Permitted,93,3,35,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,False,90.0,195.0,fast,True,False,False,True,True,35.0,raichu
27,Alolan Sandshrew,Sandshrew,Alolan,7,Common,Ice,Steel,300.0,50.0,75.0,90.0,10.0,35.0,40.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,False,75.0,175.0,slow,False,False,False,False,False,48.0,alolan sandshrew
27,Sandshrew,Sandshrew,,1,Common,Ground,,300.0,50.0,75.0,85.0,20.0,30.0,40.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,False,75.0,165.0,slow,True,False,False,False,True,42.0,sandshrew
28,Sandslash,Sandslash,,1,Common,Ground,,450.0,75.0,100.0,110.0,45.0,55.0,65.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,False,100.0,240.0,mid,True,False,False,False,True,42.0,sandslash
28,Alolan Sandslash,Sandslash,Alolan,7,Common,Ice,Steel,450.0,75.0,100.0,120.0,25.0,65.0,65.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,False,100.0,260.0,mid,False,False,False,False,False,54.0,alolan sandslash
29,Nidoran♀,Nidoran♀,,1,Common,Poison,,275.0,55.0,47.0,52.0,40.0,40.0,41.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,False,47.0,147.0,slow,True,False,False,False,False,11.0,nidoran female
30,Nidorina,Nidorina,,1,Common,Poison,,365.0,70.0,62.0,67.0,55.0,55.0,56.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,False,62.0,192.0,mid,True,False,False,False,True,11.0,nidorina
31,Nidoqueen,Nidoqueen,,1,Common,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,False,92.0,262.0,mid,False,False,False,False,True,9.400000000000006,nidoqueen
32,Nidoran♂,Nidoran♂,,1,Common,Poison,,273.0,46.0,57.0,40.0,40.0,40.0,50.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,False,57.0,126.0,mid,True,False,False,False,False,13.799999999999997,nidoran male
33,Nidorino,Nidorino,,1,Common,Poison,,365.0,61.0,72.0,57.0,55.0,55.0,65.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,False,72.0,173.0,mid,True,False,False,False,True,13.399999999999999,nidorino
34,Nidoking,Nidoking,,1,Common,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,False,102.0,233.0,mid,False,False,False,False,True,21.400000000000006,nidoking
35,Clefairy,Clefairy,,1,Common,Fairy,,323.0,70.0,45.0,48.0,60.0,65.0,35.0,Permitted,25,0,73,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,False,60.0,183.0,slow,True,False,False,True,True,19.4,clefairy
36,Clefable,Clefable,,1,Common,Fairy,,483.0,95.0,70.0,73.0,95.0,90.0,60.0,Permitted,7,0,180,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,False,95.0,258.0,mid,True,False,False,True,True,21.75,clefable
37,Vulpix,Vulpix,,1,Common,Fire,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,False,50.0,143.0,mid,True,False,False,False,True,22.75,vulpix
37,Alolan Vulpix,Vulpix,Alolan,7,Common,Ice,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,False,50.0,143.0,mid,True,False,False,False,False,22.75,alolan vulpix
38,Ninetales,Ninetales,,1,Common,Fire,,505.0,73.0,76.0,75.0,81.0,100.0,100.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,False,81.0,248.0,fast,True,False,False,False,True,23.75,ninetales
38,Alolan Ninetales,Ninetales,Alolan,7,Common,Ice,Fairy,505.0,73.0,67.0,75.0,81.0,100.0,109.0,,16,0,120,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,False,81.0,248.0,fast,False,False,False,True,False,29.799999999999997,alolan ninetales
39,Jigglypuff,Jigglypuff,,1,Common,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,False,45.0,160.0,slow,False,False,False,False,True,84.0,jigglypuff
40,Wigglytuff,Wigglytuff,,1,Common,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,False,85.0,235.0,slow,False,False,False,False,True,81.0,wigglytuff
41,Zubat,Zubat,,1,Common,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,False,45.0,115.0,mid,False,False,False,False,True,17.0,zubat
42,Golbat,Golbat,,1,Common,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,False,80.0,220.0,fast,False,False,False,False,True,17.0,golbat
43,Oddish,Oddish,,1,Common,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,False,75.0,165.0,slow,False,False,False,False,True,26.0,oddish
44,Gloom,Gloom,,1,Common,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,False,85.0,205.0,slow,False,False,False,False,True,23.0,gloom
45,Vileplume,Vileplume,,1,Common,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,False,110.0,250.0,mid,False,False,False,False,True,34.0,vileplume
46,Paras,Paras,,1,Common,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,False,70.0,145.0,slow,False,False,False,False,False,27.0,paras
47,Parasect,Parasect,,1,Common,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,False,95.0,220.0,slow,False,False,False,False,False,33.0,parasect
48,Venonat,Venonat,,1,Common,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,False,55.0,165.0,slow,False,False,False,False,False,11.0,venonat
49,Venomoth,Venomoth,,1,Common,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,False,90.0,205.0,fast,False,False,False,False,False,22.5,venomoth
50,Alolan Diglett,Diglett,Alolan,7,Common,Ground,Steel,265.0,10.0,55.0,30.0,35.0,45.0,90.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,False,55.0,85.0,fast,False,False,False,False,False,55.0,alolan diglett
50,Diglett,Diglett,,1,Common,Ground,,265.0,10.0,55.0,25.0,35.0,45.0,95.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,False,55.0,80.0,fast,True,False,False,False,True,61.0,diglett
51,Alolan Dugtrio,Dugtrio,Alolan,7,Common,Ground,Steel,425.0,35.0,100.0,60.0,50.0,70.0,110.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,False,100.0,165.0,fast,False,False,False,False,False,47.0,alolan dugtrio
51,Dugtrio,Dugtrio,,1,Common,Ground,,425.0,35.0,100.0,50.0,50.0,70.0,120.0,Permitted,3,0,212,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,False,100.0,155.0,elite,True,False,False,True,True,59.0,dugtrio
52,Meowth,Meowth,,1,Common,Normal,,290.0,40.0,45.0,35.0,40.0,40.0,90.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,False,45.0,115.0,fast,True,False,False,False,False,50.0,meowth
52,Alolan Meowth,Meowth,Alolan,7,Common,Dark,,290.0,40.0,35.0,35.0,50.0,40.0,90.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,False,50.0,115.0,fast,True,False,False,False,False,50.0,alolan meowth
52,Galarian Meowth,Meowth,Galarian,8,Common,Steel,,290.0,50.0,65.0,55.0,40.0,40.0,40.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,False,65.0,145.0,slow,True,False,False,False,True,20.0,galarian meowth
52,Meowth Gigantamax,Meowth,Gigantamax,8,,Normal,,,,,,,,,Gigantamax Allowed,,,,https://archives.bulbagarden.net/media/upload/4/4c/052GiMS8.png,True,,,,True,False,False,False,True,,meowth gigantamax
53,Persian,Persian,,1,Common,Normal,,440.0,65.0,70.0,60.0,65.0,65.0,115.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,False,70.0,190.0,fast,True,False,False,False,True,50.0,persian
53,Alolan Persian,Persian,Alolan,7,Common,Dark,,440.0,65.0,60.0,60.0,75.0,65.0,115.0,,19,0,96,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,False,75.0,190.0,fast,True,False,False,True,False,50.0,alolan persian
54,Psyduck,Psyduck,,1,Common,Water,,320.0,50.0,52.0,48.0,65.0,50.0,55.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,False,65.0,148.0,mid,True,False,False,False,True,14.0,psyduck
55,Golduck,Golduck,,1,Common,Water,,500.0,80.0,82.0,78.0,95.0,80.0,85.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,False,95.0,238.0,mid,True,False,False,False,True,14.0,golduck
56,Mankey,Mankey,,1,Common,Fighting,,305.0,40.0,80.0,35.0,35.0,45.0,70.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,False,80.0,120.0,mid,True,False,False,False,False,35.0,mankey
57,Primeape,Primeape,,1,Common,Fighting,,455.0,65.0,105.0,60.0,60.0,70.0,95.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,False,105.0,195.0,fast,True,False,False,False,False,35.0,primeape
58,Hisuian Growlithe,Growlithe,Hisuian,1,Common,Fire,Rock,350.0,60.0,75.0,45.0,65.0,50.0,55.0,,,,,https://img.pokemondb.net/s.png,False,75.0,155.0,mid,False,False,False,False,False,20.0,hisuian growlithe
58,Growlithe,Growlithe,,1,Common,Fire,,350.0,55.0,70.0,45.0,70.0,50.0,60.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,False,70.0,150.0,mid,True,False,False,False,True,17.5,growlithe
59,Hisuian Arcanine,Arcanine,Hisuian,1,Common,Fire,Rock,555.0,95.0,115.0,80.0,95.0,80.0,90.0,,,,,https://img.pokemondb.net/s.png,False,115.0,255.0,fast,False,False,False,False,False,27.0,hisuian arcanine
59,Arcanine,Arcanine,,1,Common,Fire,,555.0,90.0,110.0,80.0,100.0,80.0,95.0,Permitted,23,0,71,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,False,110.0,250.0,fast,True,False,False,True,True,21.0,arcanine
60,Poliwag,Poliwag,,1,Common,Water,,300.0,40.0,50.0,40.0,40.0,40.0,90.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,False,50.0,120.0,fast,True,False,False,False,True,48.0,poliwag
61,Poliwhirl,Poliwhirl,,1,Common,Water,,385.0,65.0,65.0,65.0,50.0,50.0,90.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,False,65.0,180.0,fast,True,False,False,False,True,31.0,poliwhirl
62,Poliwrath,Poliwrath,,1,Common,Water,Fighting,510.0,90.0,95.0,95.0,70.0,90.0,70.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,False,95.0,275.0,mid,False,False,False,False,True,15.0,poliwrath
63,Abra,Abra,,1,Common,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,False,105.0,95.0,fast,True,False,False,False,True,64.0,abra
64,Kadabra,Kadabra,,1,Common,Psychic,,400.0,40.0,35.0,30.0,120.0,70.0,105.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,False,120.0,140.0,fast,True,False,False,False,True,64.0,kadabra
65,Alakazam,Alakazam,,1,Common,Psychic,,500.0,55.0,50.0,45.0,135.0,95.0,120.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,False,135.0,195.0,elite,True,False,False,False,True,62.0,alakazam
65,Mega Alakazam,Alakazam,Mega,6,Common,Psychic,,600.0,55.0,50.0,65.0,175.0,105.0,150.0,Banned,,,,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,False,175.0,225.0,elite,True,False,False,False,False,90.0,mega alakazam
66,Machop,Machop,,1,Common,Fighting,,305.0,70.0,80.0,50.0,35.0,35.0,35.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,False,80.0,155.0,slow,True,False,False,False,True,35.0,machop
67,Machoke,Machoke,,1,Common,Fighting,,405.0,80.0,100.0,70.0,50.0,60.0,45.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,False,100.0,210.0,slow,True,False,False,False,True,39.0,machoke
68,Machamp Gigantamax,Machamp,Gigantamax,8,,Fighting,,,,,,,,,Gigantamax Allowed,,,,https://archives.bulbagarden.net/media/upload/0/03/068GiMS8.png,True,,,,True,False,False,False,True,,machamp gigantamax
68,Machamp,Machamp,,1,Common,Fighting,,505.0,90.0,130.0,80.0,65.0,85.0,55.0,Permitted,4,0,204,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,False,130.0,255.0,mid,True,False,False,True,True,55.0,machamp
69,Bellsprout,Bellsprout,,1,Common,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,False,75.0,115.0,slow,False,False,False,False,False,30.0,bellsprout
70,Weepinbell,Weepinbell,,1,Common,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,False,90.0,160.0,mid,False,False,False,False,False,30.0,weepinbell
71,Victreebel,Victreebel,,1,Common,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,False,105.0,215.0,mid,False,False,False,False,False,28.0,victreebel
72,Tentacool,Tentacool,,1,Common,Water,Poison,335.0,40.0,40.0,35.0,50.0,100.0,70.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,False,50.0,175.0,mid,False,False,False,False,True,53.0,tentacool
73,Tentacruel,Tentacruel,,1,Common,Water,Poison,515.0,80.0,70.0,65.0,80.0,120.0,100.0,Permitted,,,,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,False,80.0,265.0,fast,False,False,False,False,True,41.0,tentacruel
74,Geodude,Geodude,,1,Common,Rock,Ground,300.0,40.0,80.0,100.0,30.0,30.0,20.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,False,80.0,170.0,slow,False,False,False,False,False,60.0,geodude
74,Alolan Geodude,Geodude,Alolan,7,Common,Rock,Electric,300.0,40.0,80.0,100.0,30.0,30.0,20.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,False,80.0,170.0,slow,False,False,False,False,False,60.0,alolan geodude
75,Graveler,Graveler,,1,Common,Rock,Ground,390.0,55.0,95.0,115.0,45.0,45.0,35.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,False,95.0,215.0,slow,False,False,False,False,False,60.0,graveler
75,Alolan Graveler,Graveler,Alolan,7,Common,Rock,Electric,390.0,55.0,95.0,115.0,45.0,45.0,35.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,False,95.0,215.0,slow,False,False,False,False,False,60.0,alolan graveler
76,Golem,Golem,,1,Common,Rock,Ground,495.0,80.0,120.0,130.0,55.0,65.0,45.0,,,,,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,False,120.0,275.0,slow,False,False,False,False,False,57.0,golem
